number,city,latitude,longitude
97,Sagunto,39.6764,-0.2733
98,Ferrol,43.4844,-8.2328
99,El Prat de Llobregat,41.3246,2.0953
100,Arrecife,28.9625,-13.5506
101,Collado-Villalba,40.6333,-4.0083
102,La Línea de la Concepción,36.1611,-5.3486
103,Irún,43.3378,-1.7888
104,Granollers,41.6083,2.2889
105,Zamora,41.5033,-5.7556
106,Mérida,38.9,-6.3333
107,Alcoy,38.6983,-0.4736
108,San Vicente del Raspeig,38.3964,-0.5253
109,Motril,36.75,-3.5167
110,Ávila,40.65,-4.6833
111,Linares,38.0833,-3.6333
112,Cuenca,40.0667,-2.15
113,Huesca,42.1333,-0.4167
114,San Bartolomé,27.9254,-15.5726
115,Pinto,40.25,-3.7
116,Elda,38.4789,-0.7967
117,Colmenar Viejo,40.6589,-3.7658
118,Mollet,41.5356,2.2107
119,Torrelavega,43.3531,-4.0458
120,Pola de Siero,43.3833,-5.65
121,Villareal,39.9378,-0.1014
122,Granadilla de Abona,28.1167,-16.5833
123,Ibiza,38.9089,1.4328
124,Utrera,37.183,-5.767
125,Adeje,28.1167,-16.7167
126,Rincón de la Victoria,36.7167,-4.2833
127,Figueras,42.2667,2.965
128,Esplugas de Llobregat,41.3767,2.0858
129,Gavá,41.3072,2.0039
130,Puertollano,38.6833,-4.1167
131,Mairena del Aljarafe,37.3333,-6.0667
132,Santurce-Antiguo,43.3303,-3.0314
133,Portugalete,43.3194,-3.0194
134,San Felíu de Llobregat,41.3833,2.0439
135,Alcira,39.15,-0.435
136,Manacor,39.57,3.2089
137,Mislata,39.475,-0.4156
138,Denia,38.8444,0.1111
139,Lucena,37.4,-4.4833
140,Alcantarilla,37.9722,-1.2094
141,La Orotava,28.3667,-16.5167
142,Puerto del Rosario,28.5,-13.8667
143,Puerto Real,36.5292,-6.1919
144,Antequera,37.0183,-4.5597
145,Alhaurín de la Torre,36.6667,-4.55
146,Igualada,41.5814,1.6208
147,Villafranca del Panadés,41.3447,1.6994
148,Blanes,41.674,2.7921
149,Écija,37.5333,-5.0833
150,Plasencia,40.0275,-6.0908
151,San Fernando de Henares,40.4256,-3.5353
152,Santa Eulalia del Río,38.9847,1.5336
153,Sama,43.3,-5.6833
154,Lloret de Mar,41.7,2.8333
155,Narón,43.55,-8.15
156,Burjasot,39.5064,-0.4067
157,Los Palacios y Villafranca,37.1625,-5.9242
158,Vendrell,41.2201,1.5348
159,Ripollet,41.4969,2.1574
160,Lluchmayor,39.49,2.8915
161,Marratxi,39.6421,2.7527
162,Villagarcía de Arosa,42.5977,-8.7632
163,Mieres,43.2508,-5.7767
164,San Adrián de Besós,41.4305,2.2183
165,Don Benito,38.9545,-5.8617
166,Tudela,42.0653,-1.6067
167,Moncada,41.4867,2.1879
168,Andújar,38.0392,-4.0506
169,Oleiros,43.3333,-8.3166
170,Torre-Pacheco,37.7333,-0.95
171,Tomelloso,39.1578,-3.0208
172,Olot,42.1822,2.489
173,Onteniente,38.8222,-0.6072
174,Miranda de Ebro,42.6833,-2.9333
175,Águilas,37.4042,-1.5819
176,Teruel,40.3456,-1.1065
177,Cieza,38.2392,-1.4189
178,Villajoyosa,38.5053,-0.2328
179,Burriana,39.8894,-0.0925
180,Cambrils,41.067,1.0564
181,San Juan Despí,41.3668,2.057
182,Villena,38.635,-0.8658
183,Almendralejo,38.6833,-6.4167
184,Ronda,36.7461,-5.1611
185,Inca,39.7167,2.9167
186,Tortosa,40.8125,0.5211
187,Santa Pola,38.1897,-0.5556
188,Aranda de Duero,41.6833,-3.6833
189,San Javier,37.8037,-0.8343
190,Mazarrón,37.5983,-1.3139
191,Arteijo,43.3044,-8.5114
192,Totana,37.7711,-1.5003
193,Castro-Urdiales,43.3844,-3.215
194,Aldaya,39.4639,-0.4628
195,Salt,41.9761,2.7881
196,Vall de Uxó,39.8236,-0.2317
197,Níjar,36.9667,-2.2
198,San Roque,36.2097,-5.3844
199,Carballo,43.2167,-8.6833
200,Arroyomolinos,40.2667,-3.9
201,Manises,39.4833,-0.45
202,San Pedro de Ribas,41.2592,1.773
203,Coria del Río,37.2833,-6.05
204,Arcos de la Frontera,36.75,-5.8
205,Alcázar de San Juan,39.4056,-3.2056
206,Culleredo,43.2883,-8.3894
207,San Andrés del Rabanedo,42.6167,-5.6
208,Puerto de la Cruz,28.4167,-16.55
209,Valdepeñas,38.7667,-3.4
210,Chirivella,39.4656,-0.4267
211,Durango,43.1689,-2.63
212,Puente-Genil,37.3833,-4.7667
213,Alacuás,39.4583,-0.4628
214,Mahón,39.8894,4.2642
215,Sitges,41.2339,1.8042
216,Crevillente,38.2486,-0.8089
217,Galdácano,43.2306,-2.8458
218,Rota,36.6167,-6.35
219,Redondela,42.2833,-8.6167
220,Campello,38.4275,-0.4011
221,Vinaroz,40.4686,0.4736
222,Martorell,41.4744,1.9305
223,Catarroja,39.4028,-0.4044
224,Premiá de Mar,41.492,2.362
225,Salou,41.0796,1.1316
226,Candelaria,28.3547,-16.371
227,Jávea,38.7892,0.1631
228,Lepe,37.2542,-7.2033
229,Éibar,43.1843,-2.4733
230,Morón de la Frontera,37.1222,-5.4517
231,Calafell,41.2004,1.5693
232,Lebrija,36.9194,-6.0781
233,San Andrés de la Barca,41.4478,1.9769
234,Sueca,39.2026,-0.3112
235,Camas,37.402,-6.0332
236,Sestao,43.3108,-3.0056
237,Algemesí,39.1897,-0.4378
238,Benicarló,40.4167,0.4167
239,La Oliva,28.6167,-13.9333
240,Vícar,36.8317,-2.6431
241,Santa Eugenia,42.5667,-8.9833
242,Almazora,39.9403,-0.0625
243,Cártama,36.7114,-4.6306
244,Cangas,42.2642,-8.7819
245,Paiporta,39.4278,-0.4183
246,Santa Perpetua de Moguda,41.5375,2.1819
247,Jumilla,38.4792,-1.325
248,Molíns de Rey,41.4139,2.0158
249,San Pedro del Pinatar,37.8167,-0.75
250,Almuñécar,36.7339,-3.6911
251,Paracuellos de Jarama,40.55,-3.5167
252,Villanueva de la Serena,38.9667,-5.8
253,Novelda,38.385,-0.768
254,Renedo,43.3578,-3.9581
255,Muchamiel,38.4136,-0.4456
256,Tomares,37.3764,-6.0458
257,Adra,36.7478,-3.0161
258,Alhaurín el Grande,36.6331,-4.6831
259,Oliva,38.9194,-0.1211
260,Villarrobledo,39.2667,-2.6
261,Ciempozuelos,40.1592,-3.6183
262,Cuart de Poblet,39.4833,-0.4428
263,Onda,39.9625,-0.2639
264,Puebla de Vallbona,39.5917,-0.553
265,Alboraya,39.5,-0.3522
266,Bétera,39.5922,-0.4625
267,Cambre,43.283,-8.333
268,Calahorra,42.3,-1.9667
269,Erandio,43.3047,-2.9731
270,Almansa,38.8682,-1.0979
271,Almonte,37.2667,-6.5167
272,Valls,41.2883,1.2508
273,San Juan de Alicante,38.4014,-0.4367
274,Armilla,37.15,-3.6167
275,Olesa de Montserrat,41.545,1.8944
276,Torrelodones,40.5778,-3.9278
277,Masnou,41.4817,2.3178
278,Los Barrios,36.1833,-5.4833
279,Mairena del Alcor,37.3667,-5.7333
280,Ibi,38.6272,-0.5753
281,Liria,39.6258,-0.5961
282,Zarautz,43.2833,-2.1667
283,Calpe,38.645,0.0442
284,Icod de los Vinos,28.35,-16.7
285,Puenteareas,42.1667,-8.5
286,Conil de la Frontera,36.2667,-6.0833
287,Laguna de Duero,41.5833,-4.7167
288,Montilla,37.5833,-4.6333
289,Coín,36.8167,-4.75
290,Altea,38.5986,-0.0519
291,Barbate de Franco,36.1833,-5.9167
292,Vilaseca de Solcina,41.111,1.145
293,Cullera,39.1639,-0.2517
294,Priego de Córdoba,37.4333,-4.1833
295,Pilar de la Horadada,37.8667,-0.7833
296,Maracena,37.2,-3.6333
297,Esparraguera,41.5381,1.8692
298,Bormujos,37.3667,-6.0667
299,Torre del Mar,36.75,-4.1
300,Alhama de Murcia,37.8514,-1.4264
301,San Felíu de Guixols,41.7806,3.0306
302,Moncada,39.5333,-0.3833
303,Moguer,37.2747,-6.8386
304,Guía de Isora,28.211,-16.7784
305,San Juan de Aznalfarache,37.3667,-6.0167
306,Las Torres de Cotillas,38.0264,-1.2436
307,Alcalá la Real,37.45,-3.9167
308,Aljaraque,37.2667,-7.0167
309,Alfafar,39.4222,-0.3906
310,Isla-Cristina,37.1992,-7.3214
311,Pájara,28.35,-14.1
312,Picasent,39.3611,-0.46
313,Almoradí,38.1097,-0.7894
314,Nerja,36.7469,-3.879
315,Ayamonte,37.2,-7.4
316,Palafrugell,41.9174,3.1631
317,San Juan de Vilasar,41.5053,2.3928
318,Palma del Río,37.7,-5.2833
319,Manlleu,42,2.2836
320,Alcudia,39.8525,3.1192
321,Aspe,38.3456,-0.7689
322,Los Llanos de Aridane,28.65,-17.9
323,Güimar,28.315,-16.41
324,La Unión,37.6192,-0.8756
325,Hernani,43.2667,-1.9667
326,Carcagente,39.1222,-0.4489
327,Baza,37.4833,-2.7667
328,Loja,37.1667,-4.15
329,Medina del Campo,41.3,-4.9167
330,Requena,39.4861,-1.1017
331,La Estrada,42.7,-8.4833
332,Cabra,37.4667,-4.4333
333,Lalín,42.65,-8.1167
334,Barañáin,42.8,-1.6667
335,Porriño,42.1667,-8.6167
336,Calatayud,41.35,-1.6333
337,Cartaya,37.2833,-7.15
338,Bañolas,42.1194,2.7664
339,Rosas,42.2633,3.175
340,Puzol,39.6167,-0.3011
341,El Arahal,37.2667,-5.55
342,Amorebieta,43.2192,-2.7342
343,Moaña,42.2833,-8.75
344,Huércal-Overa,37.3833,-1.9333
345,Archena,38.115,-1.2992
346,Zubia,37.1206,-3.585
347,Marchena,37.3333,-5.4167
348,El Viso del Alcor,37.3833,-5.7167
349,Calella,41.6169,2.6642
350,Chipiona,36.7333,-6.4333
351,Callosa de Segura,38.1225,-0.8797
352,Silla,39.3618,-0.4103
353,Baena,37.6167,-4.3167
354,Albolote,37.2306,-3.6569
355,Atarfe,37.2229,-3.6899
356,Utebo,41.7141,-0.9944
357,Malgrat de Mar,41.6456,2.7428
358,Villaquilambre,42.6167,-5.6
359,Sant Just Desvern,41.3833,2.075
360,Lora del Río,37.65,-5.5167
361,San Lorenzo de El Escorial,40.5936,-4.1428
362,Guadix,37.3,-3.1333
363,Cardedeu,41.6406,2.3594
364,Benicasim,40.0553,0.0642
365,La Eliana,39.5661,-0.5281
366,Felanitx,39.4692,3.1481
367,Tarifa,36.014,-5.606
368,La Nucía,38.6172,-0.1231
369,San Celoni,41.6895,2.4897
370,El Astillero,43.4017,-3.8194
371,Manzanares,38.9964,-3.3731
372,Torrox,36.75,-3.95
373,Huércal de Almería,36.8833,-2.4333
374,Daimiel,39.0833,-3.6167
375,Caldas de Montbuy,41.6328,2.1675
376,Benavente,42.0031,-5.6742
377,Nigrán,42.1419,-8.8056
378,Munguía,43.3547,-2.8472
379,Osuna,37.2333,-5.1
380,Bailén,38.0833,-3.7667
381,Castilleja de la Cuesta,37.3833,-6.05
382,Balaguer,41.7904,0.8056
383,Tárrega,41.6464,1.1394
384,Sangenjo,42.4017,-8.8067
385,Tabernes de Valldigna,39.0722,-0.2658
386,Pozoblanco,38.3833,-4.85
387,Barbastro,42.0361,0.1264
388,Navalmoral de la Mata,39.8983,-5.5403
389,Guernica y Luno,43.3167,-2.6667
390,Poyo,42.4333,-8.6667
391,Mula,38.0419,-1.4906
392,Vera,37.25,-1.8667
393,Bermeo,43.42,-2.7264
394,Canovellas,41.6176,2.2814
395,Zafra,38.4167,-6.4167
396,Fuente-Álamo de Murcia,37.7394,-1.1881
397,Berga,42.1,1.8456
398,Rojales,38.0886,-0.7236
399,La Garriga,41.6804,2.2833
400,Pollensa,39.8772,3.0164
401,Montornés del Vallés,41.5444,2.267
402,Ubrique,36.6833,-5.45
403,Los Alcázares,37.7436,-0.8497
404,Albal,39.3972,-0.4156
405,Torredembarra,41.1457,1.3957
406,Guadarrama,40.6728,-4.0889
407,La Algaba,37.45,-6
408,Manilva,36.3833,-5.25
409,Las Cabezas de San Juan,36.9817,-5.9406
410,Santomera,38.0617,-1.0492
411,Arzúa,42.9167,-8.2167
412,Sada,43.35,-8.25
413,Masamagrell,39.5703,-0.33
414,Piera,41.5222,1.7494
415,Alcañiz,41.0511,-0.1336
416,Arenys de Mar,41.5819,2.5503
417,Guardamar del Segura,38.0897,-0.655
418,Ermúa,43.1875,-2.5008
419,Espartinas,37.3833,-6.1167
420,Baeza,37.9833,-3.4667
421,Lumbreras,37.5633,-1.8072
422,Cubellas,41.21,1.6736
423,Santa Cruz de la Palma,28.6825,-17.765
424,Churriana de la Vega,37.15,-3.65
425,La Roda,39.207,-2.1604
426,Miguelturra,38.9647,-3.8911
427,La Solana,38.9414,-3.2394
428,Chiva,39.4714,-0.7197
429,Vieiro,43.6481,-7.59
430,Punta Umbría,37.1667,-6.95
431,Fraga,41.52,0.35
432,La Carolina,38.2667,-3.6167
433,Azpeitia,43.1819,-2.2653
434,Cizur Mayor,42.7867,-1.6908
435,Vergara,43.1175,-2.4133
436,Arnedo,42.2167,-2.1
437,Benetúser,39.425,-0.3961
438,Santa Úrsula,28.4253,-16.4917
439,San Carlos de la Rápita,40.6203,0.5927
440,Corbera de Llobregat,41.4169,1.9314
441,Canet de Mar,41.5911,2.5828
442,Cehegín,38.0925,-1.7989
443,Gondomar,42.1111,-8.7611
444,Andoain,43.2167,-2.0167
445,Meco,40.5539,-3.3261
446,Mollerusa,41.6317,0.8961
447,Villaviciosa,43.4833,-5.4333
448,Cuevas del Almanzora,37.3,-1.8667
449,Torelló,42.0492,2.2629
450,Bollullos par del Condado,37.3358,-6.5364
451,Ogíjares,37.1167,-3.6
452,Noya,42.7833,-8.8833
453,Torre del Campo,37.7667,-3.8833
454,Sopelana,43.3814,-2.9792
455,Carballino,42.431,-8.079
456,La Carlota,37.6667,-4.9333
457,Villalba,43.3,-7.6833
458,Pilas,37.3017,-6.2986
459,Sanlúcar la Mayor,37.3831,-6.2
460,Beasain,43.0458,-2.1894
461,Guia,28.1389,-15.6328
462,Alginet,39.2625,-0.4683
463,La Puebla,39.7693,3.0225
464,Cambados,42.5,-8.8
465,Llanera,43.4667,-5.9333
466,Torrijos,39.9833,-4.2814
467,Verín,41.9408,-7.4358
468,Sóller,39.7667,2.7
469,Torredonjimeno,37.7667,-3.95
470,La Llagosta,41.5156,2.1928
471,Tomiño,41.9833,-8.7167
472,Cunit,41.1976,1.6345
473,Canals,38.9611,-0.585
474,Llanes,43.4214,-4.7564
475,San Agustín de Guadalix,40.6781,-3.615
476,Cuarte de Huerva,41.5833,-0.9167
477,El Barco de Valdeorras,42.4167,-6.9831
478,Gines,37.3875,-6.0781
479,Aguilar,37.5167,-4.65
480,Santa Coloma de Farnés,41.8624,2.6654
481,Sarria,42.7833,-7.4167
482,Campo de Criptana,39.4,-3.1167
483,Nules,39.8525,-0.1506
484,Alora,36.8167,-4.7
485,Santa Cruz de Bezana,43.4442,-3.9031
486,Betanzos,43.2792,-8.2106
487,Abarán,38.2031,-1.4003
488,Pola de Laviana,43.2358,-5.5563
489,Fene,43.4667,-8.1667
490,Sant Sadurní d’Anoia,41.4261,1.785
491,Santa Margarita,39.7033,3.1036
492,Valverde del Camino,37.5667,-6.75
493,Gibraleón,37.3753,-6.9694
494,Villafranca de los Barros,38.5667,-6.3333
495,Vejer de la Frontera,36.25,-5.9667
496,Vilanova del Camí,41.5733,1.6381
497,Berja,36.8453,-2.9469
498,Castellbisbal,41.4767,1.9822
499,Abrera,41.5165,1.9024
500,Argentona,41.5558,2.4025
501,Teror,28.059,-15.5476
502,Salobreña,36.7467,-3.5869
503,Brenes,37.55,-5.8667
504,Estepa,37.2917,-4.8792
505,Albatera,38.1786,-0.8681
506,Ocaña,39.9569,-3.4967
507,Santañy,39.3542,3.1283
508,Arrigorriaga,43.2078,-2.8861
509,Monóvar,38.4369,-0.8381
510,Mongat,41.4667,2.279
511,Acalá del Río,37.5167,-5.9667
512,Capdepera,39.7,3.4333
513,Villamartín,36.8667,-5.65
514,Bayona,42.1178,-8.8506
515,Cangas de Narcea,43.1714,-6.5389
516,Alcudia de Carlet,39.1958,-0.5072
517,Albox,37.3833,-2.1333
518,Socuéllamos,39.2933,-2.7942
519,Huétor Vega,37.15,-3.5667
520,Bolaños de Calatrava,38.8831,-3.7167
521,Ceuti,38.0789,-1.2722
522,Benifayó,39.2847,-0.4281
523,Bueu,42.3167,-8.7833
524,La Puebla del Río,37.2667,-6.05
525,Olivenza,38.6858,-7.1008
526,Son Servera,39.6208,3.36
527,Medina Sidonia,36.4667,-5.9167
528,Palos de la Frontera,37.2283,-6.8944
529,Jódar,37.8333,-3.35
530,Azcoitia,43.1792,-2.3106
531,Pallejá,41.4242,1.9978
532,Picaña,39.4361,-0.435
533,Elgóibar,43.2142,-2.4169
534,Bullas,38.0497,-1.6706
535,Oñate,43.0333,-2.4167
536,Peligros,37.2333,-3.6333
537,Beniel,38.0464,-1.0014
538,Utiel,39.5672,-1.2067
539,Andraitx,39.5746,2.4206
540,Laracha,43.2486,-8.5833
541,Mancha Real,37.7833,-3.6
542,Benisa,38.7145,0.0527
543,Tegueste,28.5233,-16.3408
544,Campos del Puerto,39.4306,3.0194
545,Santiago del Teide,28.2957,-16.8145
546,Teulada,38.7292,0.1019
547,Benaguacil,39.5933,-0.5864
548,Beniaján,37.9833,-1.0667
549,Barbadanes,42.3003,-7.9064
550,San Andrés de Llevaneras,41.5733,2.4828
551,Sonseca,39.7,-3.95
552,Laredo,43.4144,-3.41
553,Santoña,43.4414,-3.4575
554,Rianxo,42.65,-8.8167
555,Sant Joan de Vilatorrada,41.7456,1.8056
556,Meliana,39.5272,-0.3492
557,La Puebla de Cazalla,37.2222,-5.3125
558,Bollullos de la Mitación,37.3333,-6.1333
559,Aizoáin,42.8356,-1.6394
560,Lardero,42.4261,-2.4614
561,Ripoll,42.2011,2.1903
562,La Palma del Condado,37.3842,-6.5517
563,Los Corrales de Buelna,43.2617,-4.0653
564,Astorga,42.4589,-6.0633
565,Cantillana,37.6,-5.8167
566,Pola de Lena,43.1583,-5.8292
567,Villacarrillo,38.1,-3.0833
568,Berriozar,42.8361,-1.6714
569,Tafalla,42.5289,-1.6736
570,Peñarroya-Pueblonuevo,38.3,-5.2667
571,Tarazona de Aragón,41.9044,-1.7225
572,Bargas,39.94,-4.0194
573,Alberique,39.1167,-0.5211
574,Grove,42.494,-8.865
575,Alcaudete,37.5833,-4.1
576,Castalla,38.5967,-0.6708
577,Alcora,40.0667,-0.2
578,Cabañaquinta,43.1,-5.5833
579,Cassá de la Selva,41.8893,2.8742
580,Huétor-Tájar,37.1947,-4.0464
581,Sedaví,39.4271,-0.3849
582,Pulpí,37.4019,-1.7508
583,Madridejos,39.4667,-3.5333
584,Candás,43.5486,-5.7897
585,La Bañeza,42.2975,-5.9017
586,Fortuna,38.1789,-1.1233
587,Luanco,43.61,-5.79
588,Amurrio,43.0528,-3.0014
589,La Escala,42.1136,3.135
590,Villanueva de Arosa,42.5628,-8.8278
591,Santa Margarita de Mombúy,41.5756,1.6092
592,Gelves,37.3333,-6.0167
593,Canteras,37.6121,-1.0437
594,Calasparra,38.2306,-1.7
595,Zumaia,43.2972,-2.2569
596,Puentes de García Rodríguez,43.45,-7.8333
597,Illora,37.2883,-3.8797
598,Caspe,41.2333,-0.0333
599,La Guardia,41.9017,-8.8753
600,Foz,43.5694,-7.2583
601,Caudete,38.7044,-0.9881
602,Mengibar,37.9683,-3.8089
603,Salvatierra de Miño,42.0833,-8.5
604,Alella,41.4953,2.2958
605,Rute,37.3167,-4.3667
606,Pinos Puente,37.25,-3.75
607,Villamarchante,39.5678,-0.6225
608,El Álamo,40.2306,-3.9944
609,Ribadeo,43.5336,-7.0403
610,Mora,39.684,-3.777
611,Masanasa,39.4083,-0.3989
612,Caldas de Reyes,42.6028,-8.6383
613,San Vicente de Castellet,41.6655,1.8641
614,Fuente Palmera,37.7,-5.1
615,Villarrubia de los Ojos,39.2167,-3.6
616,Alguazas,38.0514,-1.2414
617,Binéfar,41.85,0.3
618,Alcarraz,41.5638,0.5241
619,Grado,43.3881,-6.0736
620,Cuéllar,41.4009,-4.3136
621,Fernán-Núñez,37.6667,-4.7167
622,Santa María de Palautordera,41.6953,2.4458
623,Alfaro,42.1783,-1.7492
624,Piedras Blancas,43.56,-5.976
625,Miajadas,39.15,-6.0667
626,Garrucha,37.1833,-1.8167
627,Alhendín,37.1167,-3.65
628,Buñol,39.4194,-0.7906
629,Burela de Cabo,43.65,-7.4
630,Matadepera,41.6036,2.0244
631,Tocina,37.6,-5.7333
632,Alayor,39.9342,4.14
633,Olivares,37.4167,-6.15
634,Pizarra,36.7667,-4.7
635,Alcanar,40.543,0.4808
636,San Juan del Puerto,37.3167,-6.8333
637,Masquefa,41.5036,1.8136
638,Sevilla La Nueva,40.3475,-4.0272
639,Valsequillo de Gran Canaria,27.9808,-15.4989
640,Santa Comba,43.0383,-8.8142
641,Cervera,41.6657,1.271
642,Puebla del Caramiñal,42.6,-8.933
643,Muro del Alcoy,38.7797,-0.4361
644,Montoro,38.0167,-4.3833
645,El Molar,40.7336,-3.5814
646,San Sebastián de la Gomera,28.0922,-17.11
647,Senmanat,41.6086,2.1358
648,Colmenarejo,40.5608,-4.0169
649,Tabernes Blanques,39.5064,-0.3626
650,Tineo,43.3333,-6.4167
651,El Campo,36.7522,-2.6839
652,Sabiñánigo,42.5186,-0.3643
653,Santa María de Cayón,43.3114,-3.8525
654,La Victoria de Acentejo,28.4348,-16.4682
655,Rafelbuñol,39.5922,-0.3342
656,Solsona,41.9944,1.5178
657,Arenys de Munt,41.6128,2.5403
658,Segorbe,39.8519,-0.4896
659,El Espinar,40.7186,-4.2478
660,Cervelló,41.3962,1.9589
661,La Matanza de Acentejo,28.4403,-16.4389
662,Cistérniga,41.6167,-4.6833
663,Umbrete,37.3667,-6.15
664,Almusafes,39.2903,-0.4147
665,Reinosa,43.0019,-4.1378
666,Tiana,41.4831,2.2697
667,Sauzal,28.4799,-16.4357
668,Manzanares el Real,40.7272,-3.8611
669,Almagro,38.8878,-3.7122
670,Catral,38.1594,-0.805
671,Loeches,40.3833,-3.4
672,Silleda,42.7,-8.2333
673,San Fausto de Campcentellas,41.5061,2.24
674,Palomares del Río,37.3167,-6.05
675,San Fructuoso de Bagés,41.7507,1.8727
676,Montmeló,41.5547,2.25
677,Suances,43.4333,-4.05
678,Binisalem,39.6831,2.8333
679,Tordesillas,41.5,-5
680,San Lorenzo de Descardazar,39.609,3.2853
681,Cheste,39.4797,-0.6844
682,Puig,39.5896,-0.3031
683,Padul,37.0244,-3.6267
684,Villanueva de Córdoba,38.3167,-4.6167
685,Toro,41.52,-5.3947
686,Llagostera,41.8292,2.8933
687,Colindres,43.3967,-3.4483
688,Bembibre,42.6154,-6.417
689,Santiponce,37.4353,-6.0433
690,Polinyá,41.5575,2.1562
691,Herencia,39.35,-3.3667
692,El Corrillo,43.2142,-3.1311
693,Valldoreix,41.4678,2.0647
694,Reocín,43.3611,-4.0864
695,Ondárroa,43.3219,-2.4194
696,Campillos,37.05,-4.85
697,Ortuella,43.3103,-3.0569
698,Padrón,42.7381,-8.6603
699,Villamediana de Iregua,42.4264,-2.4181
700,Cabezón de la Sal,43.3075,-4.2325
701,Tona,41.8506,2.2292
702,Monforte del Cid,38.3792,-0.7303
703,Navia,43.5333,-6.7167
704,Legazpia,43.055,-2.335
705,Ollería,38.9142,-0.5494
706,Santa Coloma de Cervelló,41.3687,2.0175
707,Aracena,37.8911,-6.5611
708,Monserrat,39.3575,-0.6031
709,Archidona,37.1,-4.3833
710,Chantada,42.6167,-7.7667
711,Cenes de la Vega,37.15,-3.5333
712,Puebla de Farnals,39.5643,-0.2834
713,Arico el Nuevo,28.1904,-16.4977
714,Carboneras,36.9992,-1.8922
715,Corella,42.1147,-1.7867
716,Roquetas,40.8206,0.5025
717,Villanueva del Arzobispo,38.1667,-3
718,Los Santos de Maimona,38.4489,-6.3839
719,Nájera,42.4167,-2.7333
720,Olvera,36.9344,-5.2597
721,Cintruénigo,42.08,-1.805
722,Pinoso,38.4033,-1.0422
